year,outcome,group,n,coef,se,p,ci_low,ci_high,p_wild_birth,p_holm
2024,total,low,87335,-1.0106650012360205,0.9675751193352492,0.29623844903287555,-2.9070773874701015,0.8857473849980606,,
2024,total,high,87335,-3.6223959572928806,0.722366548554502,5.31375326460339e-07,-5.03820837609617,-2.2065835384895913,,
2024,total,difference,87335,-2.61173095605686,1.2097282004599177,0.030854799333220852,-4.982754660040684,-0.24070725207303578,,0.21598359533254596
2024,formal,low,87335,-3.9126019179297487,1.2431523286919,0.0016477283162671138,-6.349135709462905,-1.4760681263965925,,
2024,formal,high,87335,-5.754854243389989,0.8919160189812225,1.1021046621074847e-10,-7.50297751782748,-4.006730968952498,,
2024,formal,difference,87335,-1.8422523254602403,1.5306624037901146,0.228757595096733,-4.842295509378288,1.1577908584578074,,1.0
2024,informal,low,87335,2.901936916693984,1.0341696302773125,0.005015212295268116,0.8750016874454039,4.928872145942564,0.08097560975609756,
2024,informal,high,87335,2.132458286096835,0.5894709855504037,0.00029737074669393035,0.9771163844867448,3.287800187706925,0.02926829268292683,
2024,informal,difference,87335,-0.769478630597149,1.1896292127364374,0.5177469976761363,-3.1011090425172405,1.5621517813229424,0.5297560975609756,1.0
2024,retired,low,87335,1.3498838957870092,0.16316969561396,1.3075736247479147e-16,1.0300771690152932,1.6696906225587251,,
2024,retired,high,87335,1.5896253622306136,0.17074503939190144,1.2790958930102017e-20,1.254971234483623,1.9242794899776041,,
2024,retired,difference,87335,0.2397414664436044,0.23614592307791235,0.3099981387128047,-0.22309603788505705,0.7025789707722658,,1.0
2025,total,low,86202,-1.1524115228393157,0.9953846900013039,0.24696406443648067,-3.103329666004384,0.7985066203257527,,
2025,total,high,86202,-3.5688491940966287,0.7420370792518356,1.5128599806945984e-06,-5.02321514462348,-2.114483243569777,,
2025,total,difference,86202,-2.416437671257313,1.2436554681283603,0.05201469164928364,-4.853957597965133,0.021082255450507237,,0.3120881498957019
2025,formal,low,86202,-6.158951599960233,1.2562441541964238,9.454232342902132e-07,-8.621144897974137,-3.6967583019463275,,
2025,formal,high,86202,-5.8187875727885725,0.9125980226835037,1.8169159782773654e-10,-7.607446829610658,-4.030128315966487,,
2025,formal,difference,86202,0.34016402717166017,1.5540167380446102,0.826733077954814,-2.7056528107681075,3.385980865111428,,1.0
2025,informal,low,86202,5.0065400771200075,1.0399738272740255,1.4786327769009445e-06,2.9682288307986946,7.04485132344132,0.021463414634146343,
2025,informal,high,86202,2.2499383786916667,0.6060763066635491,0.0002053825926456622,1.06205064574809,3.4378261116352435,0.04975609756097561,
2025,informal,difference,86202,-2.756601698428341,1.2035108708563707,0.02199427077407267,-5.115439660309198,-0.3977637365474833,0.13463414634146342,0.17595416619258136
2025,retired,low,86202,1.3643018336692787,0.1777647860426423,1.6573036208997774e-14,1.0158892553062409,1.7127144120323166,,
2025,retired,high,86202,1.605800732380473,0.17227451057390117,1.1505975087601255e-20,1.2681488962013714,1.9434525685595747,,
2025,retired,difference,86202,0.24149889871119434,0.24753801501508407,0.32926109982432905,-0.24366669552289222,0.7266644929452809,,1.0
