year,outcome,kind,coef
2024,total,raw,-2.32510135884516
2024,total,standardized,-2.3245581443624985
2024,formal,raw,-4.748155097722972
2024,formal,standardized,-4.711480067055277
2024,informal,raw,2.423053738877817
2024,informal,standardized,2.3869219226928156
2024,retired,raw,1.4690819469144787
2024,retired,standardized,1.4942725679226287
2025,total,raw,-2.5136902407453334
2025,total,standardized,-2.5793794720911336
2025,formal,raw,-6.1062641130325375
2025,formal,standardized,-6.065707535567952
2025,informal,raw,3.5925738722872094
2025,informal,standardized,3.4863280634768277
2025,retired,raw,1.4980401763144773
2025,retired,standardized,1.5254383418184456
