year,treated,cell,n,mass,share,factor
2022,0,0_TR1,428,160.7094601416842,0.0843020872196842,1.0
2022,0,0_TR2,352,39.25243661807506,0.020590339438915195,1.0
2022,0,0_TR3,759,108.0746813787235,0.05669187867221,1.0
2022,0,0_TR4,554,83.46084696492755,0.04378039472015555,1.0
2022,0,0_TR5,565,78.3038220035679,0.0410752150269169,1.0
2022,0,0_TR6,658,112.71169781012213,0.05912428161410429,1.0
2022,0,0_TR7,462,45.356569364739414,0.02379233595334662,1.0
2022,0,0_TR8,448,45.20181967154871,0.023711160133820623,1.0
2022,0,0_TR9,245,26.20782220711063,0.013747629489850786,1.0
2022,0,0_TRA,449,22.956971426563502,0.01204235647233052,1.0
2022,0,0_TRB,461,40.71348904131442,0.021356752123693472,1.0
2022,0,0_TRC,644,95.89467692740283,0.05030271031406772,1.0
2022,0,1_TR1,310,115.85058977885771,0.060770825285448984,1.0
2022,0,1_TR2,247,25.149328557455036,0.0131923838689889,1.0
2022,0,1_TR3,435,65.66952709427267,0.0344477431253648,1.0
2022,0,1_TR4,447,62.56721235805616,0.03282038648285685,1.0
2022,0,1_TR5,361,53.711863940548994,0.028175206578729035,1.0
2022,0,1_TR6,396,66.50712656393611,0.03488711603772775,1.0
2022,0,1_TR7,258,26.235878750197536,0.013762346888193795,1.0
2022,0,1_TR8,281,25.77496315406449,0.013520568048591792,1.0
2022,0,1_TR9,124,11.503294377492473,0.006034191920439057,1.0
2022,0,1_TRA,183,10.129088702296558,0.005313335745662431,1.0
2022,0,1_TRB,220,16.34734475737949,0.008575197019091988,1.0
2022,0,1_TRC,219,30.478507050633475,0.015987868775385314,1.0
2022,0,2_TR1,343,129.0246899237494,0.0676814585392499,1.0
2022,0,2_TR2,243,24.777278185149623,0.012997220355225894,1.0
2022,0,2_TR3,425,68.67289746334083,0.03602319730574088,1.0
2022,0,2_TR4,343,49.93016241185718,0.026191469393441212,1.0
2022,0,2_TR5,444,70.80762429158074,0.03714299403149568,1.0
2022,0,2_TR6,474,72.50228323296278,0.03803194783519869,1.0
2022,0,2_TR7,257,24.861021626459898,0.01304114898822106,1.0
2022,0,2_TR8,333,28.577227017383922,0.014990529383847685,1.0
2022,0,2_TR9,125,12.408567732337804,0.006509063986156566,1.0
2022,0,2_TRA,151,6.963619482795277,0.003652850656618151,1.0
2022,0,2_TRB,193,15.133467378607616,0.007938442987505982,1.0
2022,0,2_TRC,280,33.924232364612585,0.01779536558172171,1.0
2022,1,0_TR1,1255,458.4675901493788,0.1059191687014431,1.0
2022,1,0_TR2,998,104.15134047279733,0.024061948192292754,1.0
2022,1,0_TR3,2285,329.17658893147643,0.0760492375136888,1.0
2022,1,0_TR4,1606,234.2190624980387,0.05411132417395202,1.0
2022,1,0_TR5,1364,188.27432300882268,0.04349677100277467,1.0
2022,1,0_TR6,1860,293.83617786218696,0.06788458849061,1.0
2022,1,0_TR7,967,95.32212258692657,0.022022145513000548,1.0
2022,1,0_TR8,1299,126.25540940715044,0.029168622375484735,1.0
2022,1,0_TR9,716,70.15744571496492,0.016208383074416487,1.0
2022,1,0_TRA,1050,49.052807351131996,0.011332606030910686,1.0
2022,1,0_TRB,1225,106.48605044908118,0.02460133318953188,1.0
2022,1,0_TRC,1567,240.68641351877073,0.055605467835433464,1.0
2022,1,1_TR1,656,234.56748640767964,0.054191820094836744,1.0
2022,1,1_TR2,608,57.55739179876723,0.013297409070862203,1.0
2022,1,1_TR3,1070,156.11200737672465,0.03606635321870556,1.0
2022,1,1_TR4,1041,136.6392367445749,0.031567584446415345,1.0
2022,1,1_TR5,855,125.78957509642485,0.029061001282947772,1.0
2022,1,1_TR6,931,135.90980448868171,0.03139906466480319,1.0
2022,1,1_TR7,609,54.702742726732026,0.012637903223249728,1.0
2022,1,1_TR8,753,62.49842901996649,0.014438930448244179,1.0
2022,1,1_TR9,403,34.9004966469284,0.008063016168505424,1.0
2022,1,1_TRA,472,21.53306066403182,0.004974754888102062,1.0
2022,1,1_TRB,496,39.714507487502075,0.009175190807038026,1.0
2022,1,1_TRC,441,55.46748164533262,0.012814579857044985,1.0
2022,1,2_TR1,577,198.95184545890731,0.04596358507208646,1.0
2022,1,2_TR2,438,40.143690083339834,0.009274344301742966,1.0
2022,1,2_TR3,997,135.44527442516775,0.03129174489079649,1.0
2022,1,2_TR4,794,98.0972919431242,0.02266328926564487,1.0
