Period,Sample,Year,Group,N,Weighted population (thousands),Total employment,Formal employment,Informal employment,Retired and outside the labor force,Unemployed or otherwise inactive
2024 vs 2022,All,2022,40-42,30011,4007.373248623011,66.5377224524556,53.181707824811824,13.356014627643768,0.1776835722025423,33.28459397534188
2024 vs 2022,All,2022,43-49,61719,8206.408684751537,64.10165317751236,49.947568988879986,14.154084188632355,1.0542524264780997,34.84409439600955
2024 vs 2022,All,2024,40-42,26564,3739.9902438945423,68.01017212592829,56.06633594168275,11.943836184245537,0.13973466166251824,31.85009321240919
2024 vs 2022,All,2024,43-49,61112,8639.85231118182,64.8415293654505,49.67984768191284,15.161681683537651,1.9692894818469868,33.18918115270252
2024 vs 2022,Men,2022,40-42,14435,2008.6359269551012,88.79240474233752,75.89340261410169,12.899002128235832,0.23387494495741193,10.973720312705058
2024 vs 2022,Men,2022,43-49,30137,4099.400587971703,85.35255246231004,72.20079561878491,13.15175684352512,1.1252424369997434,13.522205100690211
2024 vs 2022,Men,2024,40-42,12642,1895.9345079041586,88.85520126175575,78.02172237944957,10.83347888230616,0.12109256936090128,11.02370616888338
2024 vs 2022,Men,2024,43-49,29564,4297.525166491276,84.797122528724,69.3352473075057,15.461875221218305,2.3623550741286117,12.840522397147403
2024 vs 2022,Women,2022,40-42,15576,1998.7373216679098,44.172825421801434,30.35753497265436,13.815290449147069,0.12121391564648673,55.705960662552094
2024 vs 2022,Women,2022,43-49,31582,4107.008096779834,42.89011743904333,27.7355625400916,15.154554898951721,0.9833939124418792,56.126488648514794
2024 vs 2022,Women,2024,40-42,13922,1844.0557359903837,46.57871032921776,33.493279190023856,13.085431139193904,0.1589012114605306,53.2623884593217
2024 vs 2022,Women,2024,43-49,31548,4342.327144690543,45.0918281168264,30.227242722908027,14.864585393918373,1.580279345432573,53.327892537741015
2025 vs 2022,All,2022,40-42,30011,4007.373248623011,66.5377224524556,53.181707824811824,13.356014627643768,0.1776835722025423,33.28459397534188
2025 vs 2022,All,2022,43-49,61719,8206.408684751537,64.10165317751236,49.947568988879986,14.154084188632355,1.0542524264780997,34.84409439600955
2025 vs 2022,All,2025,40-42,24965,3640.616916744216,67.42381304733158,55.7992214055826,11.624591641748971,0.08323974033650057,32.492947212331934
2025 vs 2022,All,2025,43-49,60901,8814.823919665874,64.16980405539627,49.68185778135786,14.4879462740384,1.3956578711271381,34.434538073476595
2025 vs 2022,Men,2022,40-42,14435,2008.6359269551012,88.79240474233752,75.89340261410169,12.899002128235832,0.23387494495741193,10.973720312705058
2025 vs 2022,Men,2022,43-49,30137,4099.400587971703,85.35255246231004,72.20079561878491,13.15175684352512,1.1252424369997434,13.522205100690211
2025 vs 2022,Men,2025,40-42,11991,1834.8360329969073,88.46199063311114,77.7112542702608,10.750736362850319,0.09602700258874532,11.441982364300124
2025 vs 2022,Men,2025,43-49,29419,4396.309764848194,84.19699131575686,68.8249145269958,15.372076788761053,1.729839801997721,14.07316888224543
2025 vs 2022,Women,2022,40-42,15576,1998.7373216679098,44.172825421801434,30.35753497265436,13.815290449147069,0.12121391564648673,55.705960662552094
2025 vs 2022,Women,2022,43-49,31582,4107.008096779834,42.89011743904333,27.7355625400916,15.154554898951721,0.9833939124418792,56.126488648514794
2025 vs 2022,Women,2025,40-42,12974,1805.7808837473087,46.0471296133641,33.534622296031884,12.512507317332219,0.07024673007984582,53.882623656556056
2025 vs 2022,Women,2025,43-49,31482,4418.514154817679,44.2432595587204,30.63500077216859,13.608258786551824,1.0631553070422686,54.69358513423733
