Period,Sample,Specification,Outcome,coef,se_household,p_household,ci_low,ci_high,n,r2,p_wild_age,p_wild_age_year
2024 vs 2022,All,Unadjusted 2x2 DiD,Total employment,-0.732573485534571,0.594780434234012,0.21807221223905793,-1.8983217153423286,0.4331747442731867,179406,0.0008465416527523306,0.3463414634146341,0.5629
2024 vs 2022,All,Age FE + demographics + region,Total employment,-0.43609497196842206,0.5194120105703036,0.4011363189565471,-1.454123805823755,0.5819338618869109,179406,0.2261091345571773,,
2024 vs 2022,All,Unadjusted 2x2 DiD,Formal employment,-3.152349423838098,0.6288856731593107,5.370073975756377e-07,-4.384942693623575,-1.9197561540526213,179406,0.002227151214242884,0.024390243902439025,0.1008
2024 vs 2022,All,Age FE + demographics + region,Formal employment,-2.8529344675177044,0.5277564151012271,6.452737375496377e-08,-3.88731803372608,-1.8185509013093286,179406,0.27819865503461805,,
2024 vs 2022,All,Unadjusted 2x2 DiD,Informal employment,2.419775938303527,0.42835727057914474,1.6141515790420194e-08,1.5802111154525242,3.2593407611545295,179406,0.0009865315096057037,0.002926829268292683,0.0017
2024 vs 2022,All,Age FE + demographics + region,Informal employment,2.416839495549282,0.41586994834277863,6.190549090338835e-09,1.6017493745449032,3.2319296165536606,179406,0.052857837498513915,,
2024 vs 2022,All,Unadjusted 2x2 DiD,Retired and outside the labor force,0.9529859659089104,0.09603785330329388,3.305841345433851e-23,0.7647552322819133,1.1412166995359074,179406,0.005037388795558928,0.00878048780487805,0.0793
2024 vs 2022,All,Age FE + demographics + region,Retired and outside the labor force,1.0042400484059333,0.09575481270046204,9.847814922508854e-26,0.8165640641666492,1.1919160326452174,179406,0.012786191937099733,,
2024 vs 2022,All,Unadjusted 2x2 DiD,Unemployed or otherwise inactive,-0.22041248037435504,0.5925551769803381,0.7099155235531485,-1.3817992861085755,0.9409743253598655,179406,0.0004734006837436855,0.744390243902439,0.8186
2024 vs 2022,All,Age FE + demographics + region,Unemployed or otherwise inactive,-0.5681450764375946,0.5163302931846211,0.27117877886762887,-1.5801338552064588,0.4438437023312696,179406,0.23458987246641383,,
2024 vs 2022,Men,Unadjusted 2x2 DiD,Total employment,-0.6182264530042348,0.6056546662050551,0.3073694149956644,-1.8052877858347713,0.5688348798263015,86778,0.002621644509697818,0.5141463414634146,0.578
2024 vs 2022,Men,Age FE + demographics + region,Total employment,-0.7339954143392203,0.6002937309892197,0.22143278680095335,-1.9105495072232666,0.442558678544826,86778,0.01716992882573054,,
2024 vs 2022,Men,Unadjusted 2x2 DiD,Formal employment,-4.9938680766270975,0.7872431651730497,2.2461953980988268e-10,-6.536836327441592,-3.450899825812603,86778,0.005072871216237895,0.03024390243902439,0.0221
2024 vs 2022,Men,Age FE + demographics + region,Formal employment,-5.075897407930969,0.7569767045829539,2.0073584333037112e-11,-6.559544486049375,-3.592250329812564,86778,0.07276225144782433,,
2024 vs 2022,Men,Unadjusted 2x2 DiD,Informal employment,4.375641623622863,0.602228994093814,3.709909536514535e-13,3.195294484753202,5.5559887624925235,86778,0.002163777483389584,0.002926829268292683,0.0006
2024 vs 2022,Men,Age FE + demographics + region,Informal employment,4.3419019935917476,0.5850198140473856,1.155363053348477e-13,3.1952842278165523,5.488519759366943,86778,0.0545630709368613,,
2024 vs 2022,Men,Unadjusted 2x2 DiD,Retired and outside the labor force,1.3498950127253806,0.14301338109397377,3.765622087947955e-21,1.0695939364738907,1.6301960889768705,86778,0.00646417882465522,0.0224390243902439,0.0324
2024 vs 2022,Men,Age FE + demographics + region,Retired and outside the labor force,1.3936635204798928,0.1426528203533154,1.5202461394244108e-22,1.1140691302943324,1.6732579106654533,86778,0.012252183440812137,,
2024 vs 2022,Men,Unadjusted 2x2 DiD,Unemployed or otherwise inactive,-0.7316685597211302,0.5934461684889224,0.21760755587566472,-1.894801676722707,0.4314645572804464,86778,0.0010111988254113413,0.4009756097560976,0.3574
2024 vs 2022,Men,Age FE + demographics + region,Unemployed or otherwise inactive,-0.659668106140665,0.5878591266602635,0.2617972306573838,-1.8118508223779513,0.49251461009662145,86778,0.017004618095692536,,
2024 vs 2022,Women,Unadjusted 2x2 DiD,Total employment,-0.2041742296332601,0.8730963743632075,0.8151008598605411,-1.915411678417647,1.5070632191511268,92628,0.0006684525694062859,0.7678048780487805,0.8896
2024 vs 2022,Women,Age FE + demographics + region,Total employment,-0.39105581868612843,0.838596003599366,0.6409849883638923,-2.0346737833201076,1.2525621459478506,92628,0.07663626092860887,,
2024 vs 2022,Women,Unadjusted 2x2 DiD,Formal employment,-0.6440640345530734,0.8089014723489543,0.4259038125446025,-2.2294817873984463,0.9413537182922994,92628,0.0017050154034068399,0.5063414634146342,0.7202
2024 vs 2022,Women,Age FE + demographics + region,Formal employment,-0.7343911905183054,0.7272831315840182,0.31260384727195223,-2.1598399349864863,0.6910575539498756,92628,0.18382509776954636,,
2024 vs 2022,Women,Unadjusted 2x2 DiD,Informal employment,0.4398898049198129,0.6029241886683359,0.46563845734519094,-0.741819890278158,1.6215995001177839,92628,0.00045588227430937156,0.2448780487804878,0.4226
2024 vs 2022,Women,Age FE + demographics + region,Informal employment,0.3433353718321771,0.5842830880643505,0.5567885974569007,-0.8018384375497946,1.4885091812141487,92628,0.05697984158746605,,
2024 vs 2022,Women,Unadjusted 2x2 DiD,Retired and outside the labor force,0.5591981371766492,0.12778588631035234,1.2084622797446114e-05,0.3087424022758287,0.8096538720774697,92628,0.003752781483003398,0.08097560975609756,0.2703
2024 vs 2022,Women,Age FE + demographics + region,Retired and outside the labor force,0.6239750407818179,0.12649548288862195,8.106530456322143e-07,0.37604845011311616,0.8719016314505196,92628,0.016239898661552843,,
2024 vs 2022,Women,Unadjusted 2x2 DiD,Unemployed or otherwise inactive,-0.3550239075434003,0.8744459297787917,0.6847435582647734,-2.068906436337473,1.3588586212506726,92628,0.000732682714966848,0.6507317073170732,0.7449
2024 vs 2022,Women,Age FE + demographics + region,Unemployed or otherwise inactive,-0.23291922209573696,0.8387829836216413,0.7812525568252624,-1.876903660839204,1.41106521664773,92628,0.0819879187911462,,
2025 vs 2022,All,Unadjusted 2x2 DiD,Total employment,-0.8179397169920704,0.6005748091215553,0.1732205727434708,-1.995044712892336,0.3591652789081954,177596,0.000776257250723611,0.3795121951219512,0.5764
2025 vs 2022,All,Age FE + demographics + region,Total employment,-0.36776245799458696,0.5237050779718574,0.4825344999170018,-1.3942055493401684,0.6586806333509944,177596,0.22780674099881026,,
2025 vs 2022,All,Unadjusted 2x2 DiD,Formal employment,-2.8832247882929143,0.633086095062635,5.257579091917241e-06,-4.1240507337287795,-1.6423988428570486,177596,0.0020425533257534267,0.00878048780487805,0.1157
2025 vs 2022,All,Age FE + demographics + region,Formal employment,-2.2674345802711713,0.5324971572923631,2.0615711996352418e-05,-3.3111098304341633,-1.2237593301081793,177596,0.2758033741495991,,
2025 vs 2022,All,Unadjusted 2x2 DiD,Informal employment,2.065285071300846,0.4256995437190589,1.2252578868250773e-06,1.2309292973763564,2.8996408452253357,177596,0.0007919353301747423,0.012682926829268294,0.0063
2025 vs 2022,All,Age FE + demographics + region,Informal employment,1.8996721222765842,0.4143227980339587,4.539754583069838e-06,1.0876143601561625,2.711729884397006,177596,0.04943734519406007,,
2025 vs 2022,All,Unadjusted 2x2 DiD,Retired and outside the labor force,0.43584927651508076,0.08649716306599192,4.682511799618909e-07,0.2663179521408484,0.6053806008893131,177596,0.00315893094834252,0.02829268292682927,0.3387
2025 vs 2022,All,Age FE + demographics + region,Retired and outside the labor force,0.49119164246726926,0.08592656959504956,1.0879700233953621e-08,0.32277866074589767,0.6596046241886409,177596,0.010395599871313999,,
2025 vs 2022,All,Unadjusted 2x2 DiD,Unemployed or otherwise inactive,0.3820904404769829,0.598478718212511,0.5231898141271802,-0.7909062927332342,1.5550871736872,177596,0.0003174350059873543,0.6663414634146342,0.7577
2025 vs 2022,All,Age FE + demographics + region,Unemployed or otherwise inactive,-0.12342918447277593,0.520556912685303,0.8125715516856105,-1.1437019852393315,0.8968436162937796,177596,0.23449510309369337,,
2025 vs 2022,Men,Unadjusted 2x2 DiD,Total employment,-0.8251470373268016,0.6135067228408534,0.1786355016932346,-2.027598118368071,0.377304043714468,85982,0.002873074984141688,0.22341463414634147,0.4544
2025 vs 2022,Men,Age FE + demographics + region,Total employment,-0.7735965880283523,0.6090871679111257,0.2040519493948555,-1.9673855005796592,0.4201923245229545,85982,0.019137623083550825,,
2025 vs 2022,Men,Unadjusted 2x2 DiD,Formal employment,-5.19373274794825,0.793515733574533,5.940901863094048e-11,-6.748995006920215,-3.6384704889762842,85982,0.005380966374315732,0.026341463414634145,0.0144
2025 vs 2022,Men,Age FE + demographics + region,Formal employment,-4.855693810759733,0.7636264772298553,2.0342996454012745e-10,-6.352374203771445,-3.3590134177480206,85982,0.07413934818322765,,
2025 vs 2022,Men,Unadjusted 2x2 DiD,Informal employment,4.36858571062145,0.6058090594373916,5.547745377527179e-13,3.1812217726160776,5.5559496486268225,85982,0.002109046237184442,0.006829268292682927,0.0019
2025 vs 2022,Men,Age FE + demographics + region,Informal employment,4.08209722273138,0.5889696512944879,4.181341078446705e-12,2.9277379182070695,5.23645652725569,85982,0.051139808845346635,,
2025 vs 2022,Men,Unadjusted 2x2 DiD,Retired and outside the labor force,0.7424453073666444,0.1314080087954624,1.6051847142468862e-08,0.4848903428474154,1.0000002718858734,85982,0.003976642844119582,0.045853658536585365,0.1561
2025 vs 2022,Men,Age FE + demographics + region,Retired and outside the labor force,0.7852614039408742,0.13143941089924024,2.3104861977103855e-09,0.5276448924292019,1.0428779154525465,85982,0.009467598686922374,,
2025 vs 2022,Men,Unadjusted 2x2 DiD,Unemployed or otherwise inactive,0.08270172996014938,0.602971908679296,0.8909068141596325,-1.0991014947406452,1.264504954660944,85982,0.001353484056864418,0.8653658536585366,0.9029
2025 vs 2022,Men,Age FE + demographics + region,Unemployed or otherwise inactive,-0.01166481591258628,0.5984991396607686,0.9844501241626342,-1.1847015744259006,1.161371942600728,85982,0.018419287044923127,,
2025 vs 2022,Women,Unadjusted 2x2 DiD,Total employment,-0.5211620718855821,0.8803448539339023,0.5538521717975027,-2.246606279571205,1.2042821358000408,91614,0.0004252543641457551,0.6741463414634147,0.7754
2025 vs 2022,Women,Age FE + demographics + region,Total employment,-0.13477624917689748,0.8419133122801989,0.872815467569219,-1.7848960193509111,1.515343520997116,91614,0.0793643346304399,,
2025 vs 2022,Women,Unadjusted 2x2 DiD,Formal employment,-0.27764909130052795,0.816278105269453,0.7337508633356244,-1.877524778997251,1.3222265963961948,91614,0.0017605195055240275,0.7990243902439025,0.8872
2025 vs 2022,Women,Age FE + demographics + region,Formal employment,0.11617941436228256,0.7320888357155175,0.8739085571447455,-1.3186883371239921,1.5510471658485572,91614,0.18459421480126859,,
2025 vs 2022,Women,Unadjusted 2x2 DiD,Informal employment,-0.2435129805850532,0.5976019984192588,0.6836528775929281,-1.4147913745759626,0.9277654134058563,91614,0.000688326899963565,0.7170731707317073,0.7024
2025 vs 2022,Women,Age FE + demographics + region,Informal employment,-0.25095566353917986,0.5802353263183423,0.6653731870524298,-1.3881960056809766,0.8862846786026168,91614,0.05441302797736458,,
2025 vs 2022,Women,Unadjusted 2x2 DiD,Retired and outside the labor force,0.13072858016703054,0.11162747954323768,0.24155268323871792,-0.08805725942269696,0.349514419756758,91614,0.0025226357534920973,0.584390243902439,0.7803
2025 vs 2022,Women,Age FE + demographics + region,Retired and outside the labor force,0.19190246203828715,0.10987524214830106,0.08071565133525106,-0.023449055365000304,0.4072539794415746,91614,0.013941507006185683,,
2025 vs 2022,Women,Unadjusted 2x2 DiD,Unemployed or otherwise inactive,0.39043349171857283,0.8813496052662194,0.6577693321159312,-1.3369799923918104,2.117846975828956,91614,0.0002722520227335101,0.7268292682926829,0.8119
2025 vs 2022,Women,Age FE + demographics + region,Unemployed or otherwise inactive,-0.05712621286165497,0.8420194095523026,0.945909582994839,-1.7074539298678497,1.5932015041445398,91614,0.08296143578180615,,
