Period,Sample,Window,Outcome,coef,se_household,p_household,ci_low,ci_high,n,r2,p_wild_age_year
2024 vs 2022,Men,40-45,Formal employment,-1.9415756366172265,1.9399552981320272,0.3169064668641858,-5.743818152573663,1.8606668793392098,54001,0.0029245852283831253,0.309250671222846
2024 vs 2022,Men,40-45,Informal employment,2.626684099875904,1.4946972803095495,0.07886069636273706,-0.3028687373207828,5.55623693707259,54001,0.0013627382406828925,0.007078350012204052
2024 vs 2022,Men,40-45,Retired and outside the labor force,0.6085517855436623,0.3226895935012665,0.05931198978172347,-0.0239081959046904,1.241011766992015,54001,0.004187902769577145,0.001708567244325116
2024 vs 2022,Men,38-47,Formal employment,-2.7352165354473685,1.4681123493104773,0.06245045783898732,-5.612663865354391,0.14223079445965414,87304,0.0043498355390505505,0.2095
2024 vs 2022,Men,38-47,Informal employment,3.2036135517098323,1.1241704988289738,0.0043752544001456764,1.0002798615226167,5.406947241897048,87304,0.002253131542245823,0.0005
2024 vs 2022,Men,38-47,Retired and outside the labor force,0.5881955325346915,0.25328880166445145,0.020220410239908743,0.09175860358505777,1.0846324614843252,87304,0.007669730972611033,0.0048
2024 vs 2022,Men,35-50,Formal employment,-1.3595155840234308,1.1547337274889053,0.23905935166819525,-3.622752101635375,0.9037209335885132,136774,0.011517251878874202,0.5438
2024 vs 2022,Men,35-50,Informal employment,2.5445064714812764,0.8817655569751449,0.003905504188713256,0.8162777370020913,4.272735205960462,136774,0.004141624119046505,0.0195
2024 vs 2022,Men,35-50,Retired and outside the labor force,0.6994647676365743,0.217053804992833,0.0012705901722226936,0.2740471271432414,1.1248824081299071,136774,0.01641113754937229,0.0583
2025 vs 2022,Men,40-45,Formal employment,-2.307386338724407,1.9518895265747402,0.2371542905480819,-6.133019512611835,1.5182468351630205,53172,0.0025677808039571426,0.03636807420063461
2025 vs 2022,Men,40-45,Informal employment,3.107392400641489,1.4828775570334094,0.0361252222750637,0.20100579537326668,6.013779005909711,53172,0.0014170152887025278,0.001708567244325116
2025 vs 2022,Men,40-45,Retired and outside the labor force,0.430149523592967,0.2915087759476894,0.1400520664433334,-0.1411971784418602,1.0014962256277942,53172,0.00201580549716196,0.017817915547961923
2025 vs 2022,Men,38-47,Formal employment,-1.9810626275305248,1.475029249692967,0.17925038568135476,-4.872066833071878,0.9099415780108291,86090,0.004529971478862027,0.051
2025 vs 2022,Men,38-47,Informal employment,3.9065294484878956,1.120418571827694,0.0004890750453237068,1.710549400095812,6.102509496879979,86090,0.0018849705332002475,0.0002
2025 vs 2022,Men,38-47,Retired and outside the labor force,0.20154259159368143,0.23507764643218224,0.3912543707912354,-0.25920112898383646,0.6622863121711993,86090,0.005033762288486177,0.4594
2025 vs 2022,Men,35-50,Formal employment,-1.5191095829514893,1.1635961219404547,0.19171245681016036,-3.799716074505257,0.7614969086022787,134843,0.011776432965985073,0.2912
2025 vs 2022,Men,35-50,Informal employment,2.423584606859738,0.8857919297072643,0.006217867638666873,0.6874643268372649,4.159704886882211,134843,0.004133606216306984,0.0154
2025 vs 2022,Men,35-50,Retired and outside the labor force,0.05949921844485116,0.2042816980098267,0.7708519865084668,-0.3408855523550968,0.4598839892447992,134843,0.015511799892165667,0.898
