Period,Component,Sample,2022 higher-exposure mean,coef,se_household,p_household,ci_low,ci_high,n,r2
2024 vs 2022,Firm: 1-9,All,13.143255412683978,2.1959490324828956,0.4091539108441365,8.003537897043385e-08,1.394022103094676,2.9978759618711153,179406,0.0010227649533341987
2024 vs 2022,Firm: 1-9,Men,11.908516700391957,3.790274864296004,0.5684275239214633,2.5931236535794707e-11,2.6761773895886556,4.904372339003352,86778,0.0021798764474117993
2024 vs 2022,Firm: 10-49,All,0.8880637020083431,0.1717904681562713,0.1361688350305677,0.20709311077477222,-0.09509554432041745,0.43867648063296005,179406,4.840853291920855e-05
2024 vs 2022,Firm: 10-49,Men,1.0953230838380719,0.5079737608913825,0.21024515318632514,0.01568766078660162,0.09590083272207861,0.9200466890606863,86778,0.00026857857257645
2024 vs 2022,Firm: 50+ (known size),All,0.11561974695517833,0.028029986589424807,0.04927753858175541,0.5694791669183806,-0.06855221427759878,0.12461218745644839,179406,2.5774327732874802e-05
2024 vs 2022,Firm: 50+ (known size),Men,0.13361314530436255,0.05929953382210186,0.08199446597956246,0.4695485080487042,-0.10140666642943529,0.220005734073639,86778,4.682976354331014e-05
2024 vs 2022,Firm: 10+ (size unknown),All,0.007145326984854027,0.02400645107493469,0.01670561746344642,0.15070985021303154,-0.008735957492923663,0.05674885964279304,179406,0.00018977509368245382
2024 vs 2022,Firm: 10+ (size unknown),Men,0.01430391399073009,0.01809346461337425,0.0301247301511217,0.5480942375158238,-0.04094992152681214,0.07713685075356064,86778,0.00022265754113481862
2024 vs 2022,Sector: agriculture,All,6.544033416442052,0.40710414689917296,0.2755821673682751,0.1396082560533385,-0.1330269759241356,0.9472352697224815,179406,0.0007896374289420027
2024 vs 2022,Sector: agriculture,Men,5.0243057196815,0.8383908582745235,0.3540404605298893,0.01788138927289849,0.144484306565966,1.532297409983081,86778,0.0006159401884983096
2024 vs 2022,Sector: non-agriculture,All,7.610050772190302,2.012671791404354,0.34749128181978933,6.955041634270629e-09,1.331601394095909,2.6937421887127995,179406,0.00045427456346647244
2024 vs 2022,Sector: non-agriculture,Men,8.127451123843622,3.5372507653483383,0.511387868620911,4.614298160057081e-12,2.534948960720652,4.539552569976024,86778,0.0016098884058010077
2024 vs 2022,Status: wage/casual employee,All,5.257810309329908,0.593346208882284,0.2854520131576367,0.03765230886600441,0.03387054377886245,1.1528218739857055,179406,0.00011205908162092992
2024 vs 2022,Status: wage/casual employee,Men,5.262379707300595,1.760722761232696,0.4057862788287406,1.4310669137621755e-05,0.9653962693078364,2.556049253157556,86778,0.00043628404704820767
