Cohort/window,Status,2022 stock (thousands),2024 stock (thousands),2025 stock (thousands),2022-2025 change (thousands)
All ages 40-55,"Long current-job tenure, formal",1175.0468712931201,848.9318351590157,714.0004081396902,-461.04646315342995
All ages 40-55,"Short current-job tenure, formal",7031.672056088578,7734.568592479918,7990.761870859538,959.0898147709604
All ages 40-55,Total formal,8206.718927381698,8583.500427638934,8704.762278999227,498.04335161752897
All ages 40-55,Total informal,2693.0820628577235,2956.844877307899,2858.1945233508504,165.11246049312695
Common cohort 1970-1982,"Long current-job tenure, formal",927.1502000509608,766.3929157327681,703.061119133707,-224.0890809172538
Common cohort 1970-1982,"Short current-job tenure, formal",6505.348634443841,6183.199518574204,5970.265265962321,-535.0833684815198
Common cohort 1970-1982,Total formal,7432.4988344948015,6949.592434306973,6673.326385096028,-759.1724493987731
Common cohort 1970-1982,Total informal,2208.3528883467498,2504.0163340239387,2434.9876735389034,226.63478519215369
1967-1969 cohorts leaving the 2022 age window,"Long current-job tenure, formal",247.89667124215936,72.04642402810559,0.0,-247.89667124215936
1967-1969 cohorts leaving the 2022 age window,"Short current-job tenure, formal",526.3234216447373,191.6472089390931,0.0,-526.3234216447373
1967-1969 cohorts leaving the 2022 age window,Total formal,774.2200928868967,263.6936329671987,0.0,-774.2200928868967
1967-1969 cohorts leaving the 2022 age window,Total informal,484.7291745109739,179.7057848097644,0.0,-484.7291745109739
1983-1985 cohorts entering the 2025 age window,"Long current-job tenure, formal",0.0,10.492495398141994,10.939289005983241,10.939289005983241
1983-1985 cohorts entering the 2025 age window,"Short current-job tenure, formal",0.0,1359.7218649666204,2020.4966048972167,2020.4966048972167
1983-1985 cohorts entering the 2025 age window,Total formal,0.0,1370.2143603647623,2031.4358939031997,2031.4358939031997
1983-1985 cohorts entering the 2025 age window,Total informal,0.0,273.1227584741962,423.2068498119472,423.2068498119472
