Year,Sample,Group,N,Weighted population (thousands),Survey regime,Total employment,Formal employment,Informal employment,Retired and outside the labor force
2018,Women,40-42,10703,1693.5514901118513,Pre-2021 HLFS regime,43.0893796636443,27.17535360883233,15.914026054811972,0.17420484512711146
2018,Women,43-49,23980,3739.9992199900607,Pre-2021 HLFS regime,39.78148814498184,21.251455502204475,18.530032642777364,2.197863507893549
2018,Men,40-42,9934,1709.7792468896869,Pre-2021 HLFS regime,89.16116296729321,73.67842010258902,15.482742864704177,0.3436738891120965
2018,Men,43-49,22748,3771.889985945718,Pre-2021 HLFS regime,84.77025745293096,67.53303917118949,17.2372182817415,1.8878303816956274
2019,Women,40-42,10764,1775.3388154909999,Pre-2021 HLFS regime,41.527856596212494,26.52211387226254,15.005742723949954,0.32665993980400304
2019,Women,43-49,23770,3831.207037796,Pre-2021 HLFS regime,39.08179586570615,21.0178064037289,18.063989461977243,1.749739274350578
2019,Men,40-42,10126,1830.416381907,Pre-2021 HLFS regime,85.9915075859484,72.34426530221472,13.647242283733666,0.5608906759402915
2019,Men,43-49,22262,3807.485114609,Pre-2021 HLFS regime,82.57948060497895,65.8535297331947,16.725950871784264,1.7606739255468955
2020,Women,40-42,14368,1877.4102278095809,Pre-2021 HLFS regime,39.33879356886893,26.550328001466397,12.788465567402525,0.16330393108452748
2020,Women,43-49,30787,3910.200351304814,Pre-2021 HLFS regime,36.86566642091932,22.427017419202766,14.438649001716549,1.632301559609657
2020,Men,40-42,13705,1912.0626860534483,Pre-2021 HLFS regime,83.20406361734757,70.6537783059633,12.550285311384258,0.3500313885791204
2020,Men,43-49,28828,3892.9975185738303,Pre-2021 HLFS regime,80.98326966944508,66.12698820811663,14.856281461328448,1.3618325373941407
2022,Women,40-42,15576,1998.7373216679098,Post-2021 HLFS regime,44.172825421801434,30.35753497265436,13.815290449147069,0.12121391564648673
2022,Women,43-49,31582,4107.008096779834,Post-2021 HLFS regime,42.89011743904333,27.7355625400916,15.154554898951721,0.9833939124418792
2022,Men,40-42,14435,2008.6359269551012,Post-2021 HLFS regime,88.79240474233752,75.89340261410169,12.899002128235832,0.23387494495741193
2022,Men,43-49,30137,4099.400587971703,Post-2021 HLFS regime,85.35255246231004,72.20079561878491,13.15175684352512,1.1252424369997434
2024,Women,40-42,13922,1844.0557359903837,Post-2021 HLFS regime,46.57871032921776,33.493279190023856,13.085431139193904,0.1589012114605306
2024,Women,43-49,31548,4342.327144690543,Post-2021 HLFS regime,45.0918281168264,30.227242722908027,14.864585393918373,1.580279345432573
2024,Men,40-42,12642,1895.9345079041586,Post-2021 HLFS regime,88.85520126175575,78.02172237944957,10.83347888230616,0.12109256936090128
2024,Men,43-49,29564,4297.525166491276,Post-2021 HLFS regime,84.797122528724,69.3352473075057,15.461875221218305,2.3623550741286117
2025,Women,40-42,12974,1805.7808837473087,Post-2021 HLFS regime,46.0471296133641,33.534622296031884,12.512507317332219,0.07024673007984582
2025,Women,43-49,31482,4418.514154817679,Post-2021 HLFS regime,44.2432595587204,30.63500077216859,13.608258786551824,1.0631553070422686
2025,Men,40-42,11991,1834.8360329969073,Post-2021 HLFS regime,88.46199063311114,77.7112542702608,10.750736362850319,0.09602700258874532
2025,Men,43-49,29419,4396.309764848194,Post-2021 HLFS regime,84.19699131575686,68.8249145269958,15.372076788761053,1.729839801997721
