Outcome,Year,Reference year,Methodological comparability,coef,se_household,p_household,ci_low,ci_high,n,r2
Informal employment,2018,2020,Same regime,-0.5218473314215071,0.6600519299614421,0.4291683594655308,-1.8155253420720878,0.7718306792290737,235791,0.0037666204724291497
Informal employment,2019,2020,Same regime,0.7752031403049743,0.6376128572415399,0.22406504591883214,-0.474495095968123,2.0249013765780717,235791,0.0037666204724291497
Informal employment,2020,2020,Reference,0.0,0.0,,0.0,0.0,235791,0.0037666204724291497
Informal employment,2022,2020,Across regimes; interpret cautiously,-2.0629459498526175,0.5936757304938091,0.0005111010899174833,-3.226529000115991,-0.8993628995892442,235791,0.0037666204724291497
Informal employment,2024,2020,Across regimes; interpret cautiously,2.3896444047112513,0.6022501950133656,7.25209407257233e-05,1.2092557128028305,3.570033096619672,235791,0.0037666204724291497
Informal employment,2025,2020,Across regimes; interpret cautiously,2.3622805148843127,0.605832702177589,9.649942746584733e-05,1.1748702379596574,3.5496907918089677,235791,0.0037666204724291497
Formal employment,2018,2020,Same regime,-1.702015387397392,0.8518908563713096,0.045724620220024985,-3.3716907846441426,-0.03233999015064115,235791,0.009930849832678335
Formal employment,2019,2020,Same regime,-1.972515523195184,0.8539610776996964,0.020896879776516393,-3.6462484796855996,-0.2987825667047683,235791,0.009930849832678335
Formal employment,2020,2020,Reference,0.0,0.0,,0.0,0.0,235791,0.009930849832678335
Formal employment,2022,2020,Across regimes; interpret cautiously,0.851996966176991,0.7940589660196173,0.28328710954072645,-0.7043300088225735,2.4083239411765556,235791,0.009930849832678335
Formal employment,2024,2020,Across regimes; interpret cautiously,-4.360824878956651,0.8135354665449138,8.30664987512414e-08,-5.955325093530671,-2.76632466438263,235791,0.009930849832678335
Formal employment,2025,2020,Across regimes; interpret cautiously,-4.487267019006419,0.8195232764165998,4.363762296270094e-08,-6.093503125275218,-2.8810309127376197,235791,0.009930849832678335
Total employment,2018,2020,Same regime,-2.2238627188189026,0.6653109893787388,0.0008300004882213165,-3.527848296519941,-0.9198771411178641,235791,0.006394918251264037
Total employment,2019,2020,Same regime,-1.1973123828902106,0.6949923208187863,0.08493000557626042,-2.5594723012269385,0.1648475354465173,235791,0.006394918251264037
Total employment,2020,2020,Reference,0.0,0.0,,0.0,0.0,235791,0.006394918251264037
Total employment,2022,2020,Across regimes; interpret cautiously,-1.2109489836756282,0.6339436543072262,0.056109534964744856,-2.453455714345502,0.031557746994245406,235791,0.006394918251264037
Total employment,2024,2020,Across regimes; interpret cautiously,-1.971180474245401,0.6567999799459463,0.002689281293302002,-3.2584847799860857,-0.6838761685047166,235791,0.006394918251264037
Total employment,2025,2020,Across regimes; interpret cautiously,-2.1249865041221065,0.6638087351380698,0.001368550860907613,-3.426027717615811,-0.8239452906284019,235791,0.006394918251264037
Retired and outside the labor force,2018,2020,Same regime,0.5648066107157305,0.15809219590834195,0.00035339951786536074,0.2549516004985298,0.8746616209329312,235791,0.009790742018325083
Retired and outside the labor force,2019,2020,Same regime,0.19082705820739934,0.169999933123932,0.26164457508249794,-0.1423666880897251,0.5240208045045238,235791,0.009790742018325083
Retired and outside the labor force,2020,2020,Reference,0.0,0.0,,0.0,0.0,235791,0.009790742018325083
Retired and outside the labor force,2022,2020,Across regimes; interpret cautiously,-0.12176754701951256,0.13083931778441263,0.3520269852958531,-0.3782078976387523,0.1346728035997272,235791,0.009790742018325083
Retired and outside the labor force,2024,2020,Across regimes; interpret cautiously,1.2784734747417792,0.15325977189484197,7.312327985308879e-17,0.9780898415490649,1.5788571079344935,235791,0.009790742018325083
Retired and outside the labor force,2025,2020,Across regimes; interpret cautiously,0.6605407605252854,0.14247990032927924,3.551684415697781e-06,0.38128528735904155,0.9397962336915293,235791,0.009790742018325083
