Test,Sample,Outcome,Parameter,coef,se_household,p_household,ci_low,ci_high,n,r2
2018-2020 linear differential trend,Men,Total employment,Annual higher-exposure minus comparison trend,1.0830242534249763,0.33337102813852154,0.0011593148342368936,0.42962904478438513,1.7364194620655675,107603,0.004286061279719089
2018-2020 linear differential trend,Men,Formal employment,Annual higher-exposure minus comparison trend,0.8177643815959874,0.4260903409287284,0.05495552439849859,-0.017357340784713182,1.652886103976688,107603,0.003573953087831483
2018-2020 linear differential trend,Men,Informal employment,Annual higher-exposure minus comparison trend,0.2652598718289887,0.3292798537394825,0.42048750104798605,-0.38011678233501367,0.910636525992991,107603,0.001819666454642821
2018-2020 linear differential trend,Men,Retired and outside the labor force,Annual higher-exposure minus comparison trend,-0.26286855394639125,0.07913000844343866,0.0008938009433935537,-0.4179605205918814,-0.10777658730090109,107603,0.0029765641429080336
2018-2020 linear differential trend,Women,Total employment,Annual higher-exposure minus comparison trend,0.41712554218649794,0.4435305321392591,0.3469784005854596,-0.4521783268503348,1.2864294112233308,114372,0.0013826130308653983
2018-2020 linear differential trend,Women,Formal employment,Annual higher-exposure minus comparison trend,0.9005581257477603,0.39618856026164945,0.023022905605569154,0.12404281654815053,1.6770734349473702,114372,0.0033453382145260946
2018-2020 linear differential trend,Women,Informal employment,Annual higher-exposure minus comparison trend,-0.48343258356126173,0.3111694070900457,0.12028001832450372,-1.093313414548434,0.12644824742591043,114372,0.002775226368407435
2018-2020 linear differential trend,Women,Retired and outside the labor force,Annual higher-exposure minus comparison trend,-0.2733980819330058,0.08116072368002876,0.00075550754819985,-0.4324701773050693,-0.11432598656094231,114372,0.0046667776285569396
2018-2020 linear DDD pretrend,All,Total employment,Male-female differential trend,0.6658987112385059,0.5505223746793615,0.2264415906384063,-0.413105315816508,1.7449027382935198,221975,0.21035839757755925
2018-2020 linear DDD pretrend,All,Formal employment,Male-female differential trend,-0.08279374415174504,0.5788155357153106,0.8862586315956976,-1.2172513478460112,1.0516638595425212,221975,0.20767728794004148
2018-2020 linear DDD pretrend,All,Informal employment,Male-female differential trend,0.7486924553902502,0.4472786742773939,0.09415347006001082,-0.12795763724626363,1.625342548026764,221975,0.0024013443621057062
2018-2020 linear DDD pretrend,All,Retired and outside the labor force,Male-female differential trend,0.010529527986613064,0.1135359863607685,0.9261087147578827,-0.21199691622972403,0.23305597220295013,221975,0.003852001988889797
2019 vs 2018: Within-regime placebo,Men,Total employment,DiD,0.9788785333927923,0.6779423870973829,0.14876813552714613,-0.3498641289111899,2.3076211956967745,65070,0.0037727453946523326
2019 vs 2018: Within-regime placebo,Men,Formal employment,DiD,-0.3453546376204833,0.885273109150074,0.696454586313566,-2.0804580480364243,1.3897487727954578,65070,0.0042936034134937184
2019 vs 2018: Within-regime placebo,Men,Informal employment,DiD,1.3242331710132738,0.7003622887218645,0.058653305654775105,-0.0484516910116235,2.696918033038171,65070,0.0011869429138622323
2019 vs 2018: Within-regime placebo,Men,Retired and outside the labor force,DiD,-0.34437324297692606,0.18395340484678616,0.06119722632424212,-0.7049152913101427,0.016168805356290616,65070,0.0030136319987768
2020 vs 2019: Within-regime placebo,Men,Total employment,DiD,1.1912330330669265,0.6954191298780271,0.08671781384614229,-0.17176341565418896,2.5542294817880418,74921,0.0019438359176342512
2020 vs 2019: Within-regime placebo,Men,Formal employment,DiD,1.96394547117333,0.854874032871632,0.021598770839201878,0.28842315542642094,3.639467786920239,74921,0.0031492469384645227
2020 vs 2019: Within-regime placebo,Men,Informal employment,DiD,-0.7727124381064047,0.6378302332905417,0.22571517823345877,-2.022836723606647,0.4774118473938377,74921,0.001801012618822817
2020 vs 2019: Within-regime placebo,Men,Retired and outside the labor force,DiD,-0.18798210079158412,0.17012134321856015,0.26916464116402905,-0.5214138065015393,0.1454496049183711,74921,0.002532122827019645
2022 vs 2020: Survey-break diagnostic,Men,Total employment,DiD,-1.2190583321249766,0.6343702188655379,0.05464568405335299,-2.4624011139662225,0.024284449716269307,87105,0.005664982011046926
2022 vs 2020: Survey-break diagnostic,Men,Formal employment,DiD,0.834183102529927,0.794373550006213,0.2936655196354899,-0.7227604457534781,2.391126650813332,87105,0.0058499740816915224
2022 vs 2020: Survey-break diagnostic,Men,Informal employment,DiD,-2.0532414346549017,0.5935000932558903,0.0005410849476503019,-3.21648024225761,-0.8900026270521935,87105,0.0007193457595497943
2022 vs 2020: Survey-break diagnostic,Men,Retired and outside the labor force,DiD,-0.12043365677268837,0.13082578498546285,0.3572775105149736,-0.3768474835933765,0.13598017004799978,87105,0.0022817155240845155
