Period,Specification,Outcome,coef,se_household,p_household,ci_low,ci_high,n,p_wild_birthyear,p_wild_birthyear_year
2024 vs 2022,Cohort and year FE,Total employment,-2.3261681543629336,0.5977815604815098,9.969428050200372e-05,-3.497798483528845,-1.1545378251970224,87335,,
2024 vs 2022,Cohort/year FE + education + region,Total employment,-2.3621313050555575,0.5936911602166053,6.928707842662528e-05,-3.525744597019903,-1.198518013091212,87335,,
2024 vs 2022,Cohort and year FE,Formal employment,-4.766188332319798,0.7820041884807469,1.0954878166509572e-09,-6.298888377501534,-3.233488287138062,87335,,
2024 vs 2022,Cohort/year FE + education + region,Formal employment,-4.800095903089618,0.7528504138525557,1.8189639605292974e-10,-6.275655599986702,-3.3245362061925343,87335,,
2024 vs 2022,Cohort and year FE,Informal employment,2.440020177956865,0.5963465524396268,4.2838041644992405e-05,1.2712024128705697,3.6088379430431603,87335,0.033170731707317075,0.001
2024 vs 2022,Cohort/year FE + education + region,Informal employment,2.4379645980340614,0.5786778381008216,2.5201096546723685e-05,1.3037768767049507,3.5721523193631723,87335,,
2024 vs 2022,Cohort and year FE,Retired and outside the labor force,1.4549692621609214,0.11937255886648152,3.5806600740471094e-34,1.22100334604023,1.6889351782816127,87335,,
2024 vs 2022,Cohort/year FE + education + region,Retired and outside the labor force,1.458302144395422,0.1192267805994794,2.114468558818059e-34,1.2246219484277836,1.6919823403630605,87335,,
2024 vs 2022,Cohort and year FE,Unemployed or otherwise inactive,0.8711988922018874,0.5896590137497199,0.13955178886897168,-0.28451153790697203,2.026909322310747,87335,,
2024 vs 2022,Cohort/year FE + education + region,Unemployed or otherwise inactive,0.90382916066003,0.5853811302207812,0.12258804475216553,-0.24349677180205254,2.0511550931221127,87335,,
2025 vs 2022,Cohort and year FE,Total employment,-2.483941804177269,0.6150304125344022,5.374137195963684e-05,-3.689379262141509,-1.278504346213029,86202,,
2025 vs 2022,Cohort/year FE + education + region,Total employment,-2.4914047162108397,0.6103804403805357,4.4702793939650385e-05,-3.6877283962243874,-1.295081036197292,86202,,
2025 vs 2022,Cohort and year FE,Formal employment,-6.090060537199208,0.7924819406706162,1.5324326003390147e-14,-7.643296599312023,-4.536824475086393,86202,,
2025 vs 2022,Cohort/year FE + education + region,Formal employment,-6.010017414958705,0.7625277764404584,3.2294907583317925e-15,-7.504544393993413,-4.515490435923997,86202,,
2025 vs 2022,Cohort and year FE,Informal employment,3.6061187330219417,0.6005984678387484,1.9226689455431757e-09,2.428967366888057,4.783270099155827,86202,0.010731707317073172,0.0005
2025 vs 2022,Cohort/year FE + education + region,Informal employment,3.5186126987478654,0.5841557258061891,1.7077420423245137e-09,2.3736885148048796,4.663536882690851,86202,,
2025 vs 2022,Cohort and year FE,Retired and outside the labor force,1.4774196497102552,0.12424314086570494,1.312551294835669e-32,1.2339075682873368,1.7209317311331735,86202,,
2025 vs 2022,Cohort/year FE + education + region,Retired and outside the labor force,1.4826282373192805,0.1246002973308672,1.1966670564115646e-32,1.2384161420877986,1.7268403325507624,86202,,
2025 vs 2022,Cohort and year FE,Unemployed or otherwise inactive,1.0065221544668737,0.6061842530484481,0.09682942664206466,-0.1815771495033991,2.1946214584371466,86202,,
2025 vs 2022,Cohort/year FE + education + region,Unemployed or otherwise inactive,1.0087764788914309,0.6013041678195273,0.09341591943939856,-0.16975803378867127,2.187310991571533,86202,,
