Earliest birth year,Latest higher-exposure birth year,Latest comparison birth year,Period,coef,se_household,p_household,ci_low,ci_high,n
1972,1980,1983,2024 vs 2022,3.625384346916473,0.5783058568955342,3.634349394370935e-10,2.491925695352651,4.7588429984802945,103933
1972,1980,1983,2025 vs 2022,3.927443633646407,0.5930492898653899,3.5327598932783206e-11,2.765088384453188,5.089798882839626,102335
1972,1981,1984,2024 vs 2022,3.2350972722984075,0.568023939830216,1.231163865661114e-08,2.1217908078746373,4.348403736722178,112435
1972,1981,1984,2025 vs 2022,4.471369758673705,0.5721456293640347,5.49236403788856e-15,3.349984931208195,5.592754586139216,110812
1972,1982,1985,2024 vs 2022,3.0417300775300595,0.5492313766192933,3.0566965009256294e-08,1.9652563601768902,4.118203794883229,120742
1972,1982,1985,2025 vs 2022,3.698413847372331,0.5586827760022666,3.594866050592834e-11,2.60341572762503,4.793411967119631,118986
1975,1981,1984,2024 vs 2022,2.440020177956865,0.5963465524396268,4.2838041644992405e-05,1.2712024128705697,3.6088379430431603,87335
1975,1981,1984,2025 vs 2022,3.6061187330219417,0.6005984678387484,1.9226689455431757e-09,2.428967366888057,4.783270099155827,86202
1978,1981,1984,2024 vs 2022,1.4132954750299458,0.656967973663514,0.03145729839523844,0.1256619076531995,2.700929042406692,62757
1978,1981,1984,2025 vs 2022,2.604807041374824,0.6649378332876253,8.952056083603977e-05,1.3015528361729798,3.9080612465766684,62016
